count_rep1_0Hpf	count_rep1_12Hpf	count_rep2_12Hpf	count_rep1_13Hpf	count_rep2_13Hpf	count_rep1_14Hpf	count_rep2_14Hpf	count_rep1_15Hpf	count_rep2_15Hpf	count_rep1_16Hpf	count_rep2_16Hpf	count_rep1_17Hpf	count_rep2_17Hpf	count_rep1_18Hpf	count_rep2_18Hpf	count_rep1_19Hpf	count_rep2_19Hpf	
jgi|Nemve1|220344|fgenesh1_pg.scaffold_505000004	21.01805753	17.49825778	18.81682054	13.04248376	13.61014881	8.800475057	12.87050086	7.011074867	6.24353058	4.99370536	6.6424114	5.435378	5.168379249	5.085651149	6.465609513	4.975960894	5.735131895
jgi|Nemve1|220345|fgenesh1_pg.scaffold_505000005	141.5901778	123.1631758	129.4089314	108.8934959	117.4335137	91.8065558	90.40742066	86.70925724	84.26098108	82.10081177	86.40861037	79.12656051	72.58202163	79.48522011	74.80870511	63.82626762	65.97695732
jgi|Nemve1|220348|fgenesh1_pg.scaffold_506000002	0.293958847	0.122794791	0.115440617	0.168652807	0.137940697	0.316817102	0.313914655	0.295647735	0.213454037	0.805436348	0.801670341	0.47036925	0.404481854	0.438418203	0.267173947	0.765532445	0.550572662
jgi|Nemve1|22035|gw.62.57.1	6.22212892	4.850394261	5.137107447	4.553625796	4.046260458	4.329833728	3.327495344	4.181303686	3.148447045	4.027181742	4.180138209	2.76995225	2.426891126	2.455141934	3.045782994	2.153060002	2.75286331
jgi|Nemve1|220355|fgenesh1_pg.scaffold_506000009	0.342951988	0.42978177	0.404042159	0.449740819	0.781663952	1.196864608	1.067309827	1.436003286	1.067270185	1.449785427	1.03071901	1.672424	0.988733422	1.052203686	1.389304523	2.105214224	1.697599041
jgi|Nemve1|220356|fgenesh1_pg.scaffold_506000010	7.54494373	6.385329154	6.291513615	4.497408194	6.713113941	5.632304037	6.780556549	5.744013144	5.869986015	5.799141708	5.783478891	5.696694251	4.62907011	5.524069352	4.648826675	4.162582671	4.633986571
jgi|Nemve1|220361|fgenesh1_pg.scaffold_507000002	0.097986282	0.122794791	0.230881234	0.112435205	0.045980232	0.0352019	0	0.042235391	0.053363509	0.107391513	0.057262167	0.05226325	0	0.087683641	0	0	0.045881055
jgi|Nemve1|220376|fgenesh1_pg.scaffold_508000011	7.055012319	5.648560405	4.559904363	4.834713808	4.506062782	2.956959619	3.578627068	4.688128375	4.85607934	5.745445951	6.413362731	6.428379751	6.336882384	7.716160364	7.427435722	11.38729512	10.18559425
jgi|Nemve1|220377|fgenesh1_pg.scaffold_508000012	0.244965706	0.184192187	0.288601542	0.337305615	0.321861627	0.352019002	0.62782931	0.54906008	0.586998602	0.429566052	0.343573003	0.627159	0.539309139	0.526101843	0.908391419	0.956915556	0.642334772
jgi|Nemve1|220391|fgenesh1_pg.scaffold_517000001	67.56154158	76.50115505	78.3841788	77.69272655	90.85693937	77.3385748	66.23599222	62.59284911	59.92722087	58.42098313	67.62661951	73.11628676	75.90776132	75.32024719	85.22848904	59.13738139	60.56299281
jgi|Nemve1|220432|fgenesh1_pg.scaffold_521000006	34.83412332	30.76009525	31.28440715	32.60620941	35.63468017	38.58128265	31.51703137	46.54340062	38.58181717	43.86943311	38.25112772	56.75788951	65.2114634	57.56430999	46.96917985	58.99384406	51.38678178
jgi|Nemve1|220433|fgenesh1_pg.scaffold_521000007	1.077849104	0.613973957	0.981245243	1.574092868	1.977149996	2.851353919	3.07636362	3.33659587	3.308537572	4.510443551	3.779303038	4.23332325	4.269530684	4.778758407	6.305305145	4.545348893	4.404581296
jgi|Nemve1|220440|fgenesh1_pg.scaffold_522000006	10.4845322	7.306290089	8.369444717	6.183936267	6.805074406	4.083420427	3.453061206	3.547772824	3.201810554	3.006962367	2.805846195	2.299583	1.707812274	1.008361866	1.496174102	1.148298668	1.055264269
jgi|Nemve1|220465|fgenesh1_pg.scaffold_525000009	4.507368981	6.078342175	5.656590222	5.509325037	4.27616162	4.57624703	7.533951722	4.096832904	4.85607934	4.403052037	5.439905888	4.33784975	4.1347034	4.033447463	3.954174413	3.73197067	3.808127579
jgi|Nemve1|220470|fgenesh1_pg.scaffold_526000001	0.342951988	0.42978177	0.230881234	0.393523217	0.321861627	0.704038005	0.376697586	0.337883126	0.586998602	0.698044835	0.458097338	0.67942225	0.404481854	0.482260023	0.427478315	0.861224001	0.596453717
jgi|Nemve1|220479|fgenesh1_pg.scaffold_527000005	0.44093827	0.368384374	0.173160925	0.281088012	0.229901162	0.422422803	0.313914655	0.337883126	0.213454037	0.375870296	0.343573003	0.15678975	0.134827285	0.350734562	0.427478315	0.191383111	0.137643165
jgi|Nemve1|220484|fgenesh1_pg.scaffold_527000010	52.86359925	34.87372076	38.67260662	33.22460303	35.35879877	20.90992874	21.84845999	23.14499414	19.58440789	19.54525539	19.41187469	23.204883	21.16788371	23.36769019	16.93882823	22.63105291	21.2888096
jgi|Nemve1|220488|fgenesh1_pg.scaffold_527000014	9.994600785	10.99013383	9.350689959	8.095334749	8.966145332	10.52536817	7.973432239	7.982488855	7.524254802	8.376538023	10.42171444	6.898749001	4.674012539	5.524069352	5.717522462	3.205667114	5.459845564
